song_name,artist_name,album_name,release_date,song_id,danceability,energy,tempo,key
Love Is Noise,The Verve,Forth,2008-01-01,0P6YJv6QXReDChZBbpvFmF,,,,
Love You From a Distance,Ashley Kutcher,One Eighty,2021-11-19,4bpyaPa1xruVgE2GtsYbIW,,,,
Love Is Easy,McFly,Memory Lane (The Best Of McFly) [Deluxe Edition],2012-01-01,1SLWLZPU1gP4UbJ7RniOFq,,,,
Love Me Not,Skepta,Ignorance is Bliss,2019-05-31,57FYmXLG6tuXkBuYDSB74C,,,,
LOVE DIVE,IVE,LOVE DIVE,2022-04-05,0Q5VnK2DYzRyfqQRJuUtvi,,,,
Lovefool,twocolors,Lovefool,2020-05-08,51Of5p3lKZeOg6itfs4og4,,,,
Lovesick Girls,BLACKPINK,THE ALBUM,2020-10-02,4Ws314Ylb27BVsvlZOy30C,,,,
"Love You, Miss You, Mean It",Luke Bryan,Mind Of A Country Boy,2024-09-27,12boJKLZwB3LkU7lhfo9R9,,,,
Love is a Laserquest,Arctic Monkeys,Suck It and See,2011-06-06,0S6CXA5LpRDX6b4akgrOot,,,,
Love Her Madly,The Doors,L.A. Woman,1971-04-19,3MFFDRC4wTN9JNGtzXsZlN,,,,
I Love You,Fontaines D.C.,Skinty Fia,2022-04-22,4N8idxy0W2GDaEosAwPOMg,,,,
Love Bug,The Stories We Tell,Love Bug,2024-08-09,685c9VoJraxzPKBIn8jRZz,,,,
Love Shy - Kristine Blond X James Hype,Kristine Blond,Love Shy (Kristine Blond X James Hype),2017-12-01,2eykBfpmgFbhsg5u5MLhhN,,,,
Love Hurts (feat. Travis Scott),Playboi Carti,Die Lit,2018-05-11,3K6U7TamNyVSWcFH8pCQHX,,,,
When Love Takes Over (feat. Kelly Rowland),David Guetta,One More Love,2010-11-22,1hRFVIy9As8OVRk8B7CrD5,,,,
The Love You Want,Sleep Token,This Place Will Become Your Tomb,2021-09-24,4lVVewXw4g8hB7sldQyJiL,,,,
Love And Affection,Joan Armatrading,Joan Armatrading,1976-01-01,4I1w0J6NA3M25jFZ5dhp6y,,,,
Love & Attention,SamRecks,Love & Attention,2022-05-08,1lhakluflmCQiaL4sjPMQA,,,,
Love Brought Weight,Old Sea Brigade,Old Sea Brigade,2016-01-22,66deoxrDAEK7Qg1p0Vioxe,,,,
Love Me Now,John Legend,DARKNESS AND LIGHT,2016-12-02,6nxQdXa1uAL0rY72wPZu89,,,,
You Give Love A Bad Name,Bon Jovi,Slippery When Wet,1986-08-16,0rmGAIH9LNJewFw7nKzZnc,,,,
Love On My Mind (feat. Amanda Wilson),Freemasons,Unmixed,2007-10-29,0k44TEACp8VYXsXCy8VHk6,,,,
Tough Love,Gracie Abrams,The Secret of Us,2024-06-21,6WEXy56jM0Nl3bZHY9l7aH,,,,
Crazy What Love Can Do,David Guetta,Crazy What Love Can Do,2022-04-08,1WCEAGGRD066z2Q89ObXTq,,,,
Skinny Love,Bon Iver,"For Emma, Forever Ago",2008-02-19,3B3eOgLJSqPEA0RfboIQVM,,,,
The Love I Lost,Fried By Fluoride,In Excellent Order,2023-07-14,5v2wBVnZ8Wdj1qwIqhcVw2,,,,
Love Your Neighbour,Great Adamz,Love Your Neighbour,2024-09-27,0aqDvt3Mleq5pf1nYcjxbJ,,,,
Love Me How,Potter Payper,Thanks For Hating,2024-02-23,7zIJTdKvdI4NQ81cDRWDK0,,,,
Bleeding Love,Leona Lewis,Spirit,2007,6LtPIXlIzPOTF8vTecYjRe,,,,
Love Me Back,Max McNown,Wandering (Love Me Back),2024-09-06,4t43d4WVhoUU9FZTq8tZmL,,,,
Love Won’t Change,J.I the Prince of N.Y,"Hood Life Krisis, Vol. 1",2019-10-11,2UlHtEkxk9mwuFiHzhdov0,,,,
You Need To Calm Down,Taylor Swift,Lover,2019-08-23,6RRNNciQGZEXnqk8SQ9yv5,,,,
Love of the Common People,Paul Young,From Time To Time - The Singles Collection,1991-09-07,6cARFkZxx2JR3JlvDzeLZc,,,,
Love Man,Otis Redding,Love Man,1969,16dz1n3ctolQbuZPtvHVqH,,,,
Love Me,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",2016-02-26,2HklyUw3TR56nVyVJAIhw5,,,,
Love Tonight (Edit),Shouse,Love Tonight,2017-12-14,6OufwUcCqo81guU2jAlDVP,,,,
Love Lost,The Temper Trap,Conditions,2009-08-10,1HkowL1y4k4aLEUt5yF9wT,,,,
"Love in This Club, Pt. II (feat. Beyoncé & Lil' Wayne)",USHER,Here I Stand,2008-05-27,2bppvcuQhuMcJZHtM9So7r,,,,
All My Love,Noah Kahan,Stick Season,2022-10-14,7ByxizhA4GgEf7Sxomxhze,,,,
I Love Rock 'N Roll,Joan Jett & the Blackhearts,I Love Rock 'N' Roll (Expanded Edition),1981-11-18,2Cdvbe2G4hZsnhNMKyGrie,,,,
Love Natural,Crystal Fighters,Cave Rave (Deluxe Edition),2013-12-08,5uyEmyaEogSBMJPas5qF9U,,,,
Love Scars,Trippie Redd,A Love Letter To You,2017-05-14,4w552MI4k7dwPHLjI8YOBy,,,,
Your Love (9PM),ATB,Your Love (9PM),2021-01-15,5YaskwnGDZFDRipaqzbwQx,,,,
Love Drought,Beyoncé,Lemonade,2016-04-23,2RQAG0wQt35UzAPEyVJFWN,,,,
Lovesong,Adele,21,2011-01-24,2PPN1HFpVotjq7oJIqQbnx,,,,
You've Got The Love,Florence + The Machine,Lungs (Deluxe Version),2009,244AvzGQ4Ksa5637JQu5Gy,,,,
Love Action (I Believe In Love),The Human League,Dare!,1981,5RBPXlIiZVrr8hab7LpRJB,,,,
First Love/Late Spring,Mitski,Bury Me At Makeout Creek,2014-11-11,3sslYZcFKtUvIEWN9lADgr,,,,
"Love Is an Open Door - From ""Frozen""/Soundtrack Version",Kristen Bell,Disney Summer Songs,2021-05-28,5ufE60D3rxtqP7xLrL4AEL,,,,
Give Me Love,Ed Sheeran,+-=÷× (TOUR COLLECTION),2024-09-27,0o3wlw7aQMHwkaQiyAU60A,,,,
Let Me Love You,Mario,Turning Point,2004-03-15,7GaFYUqP2WdR4KTPk7cXoP,,,,
Love Again,Alex Isley,Marigold,2022-03-30,6ZwNOYjJ06J77YF1ggXtaT,,,,
Electric Love,BØRNS,Dopamine,2015-10-16,2GiJYvgVaD2HtM8GqD9EgQ,,,,
International Love (feat. Chris Brown),Pitbull,Planet Pit (Deluxe Version),2011-06-17,62zFEHfAYl5kdHYOivj4BC,,,,
Love Vibration,ESSEL,Love Vibration,2021-10-08,5B2Fil0dJNfob1W8gpL5E4,,,,
Love Island Freestyle,Niko B,Love Island Freestyle,2022-07-28,1rlVac9TRr4f3b7GKHdhRh,,,,
lovely,Billie Eilish,dont smile at me (Expanded Edition),2017-08-11,1NJcg626wLln4pGHpiV7mf,,,,
Stubborn Love,The Lumineers,The Lumineers,2012-04-03,4wG82w1L31yQhgGiWt6gIb,,,,
Love Again,Dua Lipa,Future Nostalgia (The Moonlight Edition),2021-02-11,5CSKbHjpqborGnlzagyaDo,,,,
"Love You, Miss You, Mean It",Luke Bryan,"Love You, Miss You, Mean It",2024-04-05,2b98AhAxuK5i4YUHaQ7eQR,,,,
Lovesong,beabadoobee,Beatopia,2022-07-15,2qkb3hhx8iCBvYzX9SvVxj,,,,
Lady Love,Oden & Fatzo,Lady Love,2023-08-04,3ACTBfO2gL0RY2a3Eb5kY5,,,,
Love Sex Magic (feat. Justin Timberlake),Ciara,Fantasy Ride,2009-05-01,1BIENruTnjKdB7HD2YIlRr,,,,
Love Drunk,BOYS LIKE GIRLS,Love Drunk,2009-09-07,20X9OeC606XNwEtDBOym5u,,,,
Lover,Diljit Dosanjh,MoonChild Era,2021-08-22,0XwRlvv3KlOu4HWlOH34XG,,,,
Love in the First Degree,Bananarama,Wow ! (Collector's Edition),1987-01-01,2qjWA8QruRCkoFZUQJR4SQ,,,,
Love Me For A Reason,Boyzone,Said And Done,1995-08-21,2GBoo6ufWtMy1s6lqgbjJ8,,,,
Higher Love,Kygo,Golden Hour,2020-05-29,1kKYjjfNYxE0YYgLa7vgVY,,,,
Love Don't Change,Jeremih,All About You,2010-01-01,6PmjWl0phNxc0R5OwkDdiZ,,,,
Love Song (feat. Glasses),Kazy Lambist,33 000 FT.,2018-06-08,0fD6vPYWty2Jy4VVozWzfp,,,,
Love You to Death,Type O Negative,October Rust (Special Edition),1996-08-19,58RDwkonFMOkoytBtIQetc,,,,
Mr. Loverman,Ricky Montgomery,Montgomery Ricky,2016-04-08,2IVsRhKrx8hlQBOWy4qebo,,,,
Love You More,JLS,Outta This World,2010-11-22,3XFbNJLRobuQAwwdzkPOHI,,,,
Miss Americana & The Heartbreak Prince,Taylor Swift,Lover,2019-08-23,214nt20w5wOxJnY462klLw,,,,
Love Like This,ZAYN,Love Like This,2023-07-21,3P9pRL7V9yM9DhY6NGZjzA,,,,
Love Will Keep Us Together,Captain & Tennille,Scrapbook,1999-01-01,10pcZvQ4QTKeHRvTUAeHVD,,,,
Lovely Day,Bill Withers,Lean on Me: The Best of Bill Withers,1994-08-09,0ACACkoHUwgfgY5CxVIL4N,,,,
Loved By You (feat. Burna Boy),Justin Bieber,Justice,2021-03-19,2tB9OFgAHjAds3cqquLlvp,,,,
Love of My Life (feat. Not3s & Young Adz),Remedee,Love of My Life (feat. Not3s & Young Adz),2019-07-11,3wPTI3G39TG3kxR5ybhrzK,,,,
Love Myself,Cameron Whitcomb,Love Myself,2024-09-06,0A5smlSd60fsk4CDCxICd4,,,,
I Loved You (feat. Melissa Steel),Blonde,I Loved You (feat. Melissa Steel),2014-10-31,3yh9WHZs15IKNBXYaFAZH5,,,,
Only Love,Ben Howard,Every Kingdom,2011-01-01,2uhEKg8kIzpdvz4gyy6x8W,,,,
Love and Happiness,Al Green,I'm Still in Love with You,1972-10-23,6SMHgPgNkhe9lneNTbgtel,,,,
(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,Higher And Higher,1967,5qyq1H5OPMlfuvZQ1wQNo7,,,,
love riddim,oakland,love riddims,2024-04-12,4UUovgRFny3SlsfEW8j21F,,,,
LoveSick,BoyWithUke,Faded,2021-09-10,1zS5TccQwMDp5ZsEnt4FAh,,,,
Love Like Ghosts,Lord Huron,Strange Trails,2015-04-06,1Xca9HfuG65IL3ogdnNfTv,,,,
Where's My Love,SYML,SYML,2019-05-03,1B62o4CbdL9ckGvwsz2cgn,,,,
Love 2 The Game,Nines,One Foot Out,2017-02-10,2nYmynBdUvAexBo0VruKYM,,,,
Secret Love Song (feat. Jason Derulo),Little Mix,Get Weird (Expanded Edition),2015-11-06,6KHL1En9v6iNWjcs44mcmU,,,,
Lovely,Brent Faiyaz,A.M. Paradox,2016-09-20,2jGjNCH6Op0BqBHPc4Rd8d,,,,
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024-03-08,51ZQ1vr10ffzbwIjDCwqm4,,,,
Love Don't Let Me Go,David Guetta,Just a Little More Love,2002-05-20,0mIAWTIXUP9Os5RBXKclO6,,,,
Love's Train,Bruno Mars,An Evening With Silk Sonic,2021-11-11,2JUQ7mV1AHk2owXLydmN4Z,,,,
Love Bites (So Do I),Halestorm,The Strange Case of...,2012-04-03,0hKLGoFtQiMHUzmquTyzpS,,,,
Love Ya,Diljit Dosanjh,Love Ya,2024-01-06,4Vaa9Mq34xA9cSX8B7PtCN,,,,
Love Me,Justin Bieber,My World,2009-01-01,0yIywEquxORnu1dR0WYsdN,,,,
Love Me Like (feat. DUCKWRTH),Rayana Jay,Love Me Like,2019-03-22,5FFUDCkMjxuK6XQZNumN55,,,,
Love Is Gone - Fred Riester & Joachim Garraud Radio Edit Remix,David Guetta,Pop Life (Bonus Track),2007-06-01,692a9IHmdxgnQPRRFPUE6E,,,,
Love Town,Booker Newberry III,Love Town,1983-01-01,5bt0oGjC8IgCYN69QHhSVQ,,,,
Love Is Wicked,Brick & Lace,Love Is Wicked,2007-01-01,1KDpmR0XxAEVYpSsW5J0Pc,,,,
Love Plus One,Haircut 100,Pelican West Plus,1982,4vwLjB2NRtl9b34jRe6cWd,,,,
Love Yuh Everything,Alkaline,Love Yuh Everything,2015-04-09,0Bhgvv9rPEAGkh8SA5TAtR,,,,
She's So Lovely,Scouting For Girls,Scouting For Girls (Expanded Edition),2007-09-17,0wG4gampO24nC7VKm5pxjg,,,,
Love How It Hurts,Scouting For Girls,The Light Between Us (Expanded Edition),2012-09-03,0AkxBAeytxcvk6q2fMmFdh,,,,
Love on me,Jtbazz,Love on me,2023-12-01,2qHTaWYpcuWoOh8bZBhbrI,,,,
Love Goes Down,Plan B,The Defamation of Strickland Banks,2010-04-09,0lIGejx4KZkhycdCsdGeRs,,,,
Love Me Like This,NMIXX,expérgo,2023-03-20,6P3CtlzTKLxcNYGOS3es8m,,,,
Love Not War (The Tampa Beat),Jason Derulo,Love Not War (The Tampa Beat),2020-11-20,4Lt6GXGzYsa1tgkv3nGSTm,,,,
Love Is the Answer,Geoffrey Harris,Dance Sky Album,2024-09-20,11QqOY4ffYfUjQI86epNO6,,,,
愛して 愛して 愛して,Kikuo,きくおミク3,2013-09-11,3ty4jnVIJ9My8ZnXFMc0Fg,,,,
Love You Goodbye,One Direction,Made In The A.M. - Deluxe Edition,2015-11-13,1ZWLWVqeEMWMKTlteS0yLH,,,,
Love Me,Elvis Presley,Elvis,1956-10-19,2DQ5r0crvortwaNRYcninK,,,,
Love Druggie,Mendoza,Love Druggie,2015-07-24,6CStdYvgAkOBkLreuAOmQu,,,,
Love Shot,EXO,LOVE SHOT– The 5th Album Repackage,2018-12-13,0yB4jrSwN0bFtFRDR5vyMj,,,,
Love Is Stronger Than Pride,Victoria Monét,JAGUAR II : Deluxe,2024-10-04,1upAmogfao9L253WeV9Jk5,,,,
True Love,Kanye West,True Love,2022-05-27,06JvOZ39sK8D8SqiqfaxDU,,,,
Love Street,The Doors,Waiting for the Sun,1968-07-03,5Q2Im8o4RthlAMkvUMYwGj,,,,
Love Lost,Calum Bowie,Love Lost,2024-04-05,6AP8Ttpx7tCVd8EqflkkR0,,,,
The Love,Dekker,Slow Reveal: Chapter One,2020-11-20,1WWF1IGjA7VjAFjnpaNoRI,,,,
LOVELY BASTARDS - Slowed,ZWE1HVNDXR,LOVELY BASTARDS (Slowed),2023-08-29,0D1lgFbxCMU4aieSJWSy9H,,,,
Love Of Your Life,RAYE,Love Of Your Life,2020-11-06,5iqfKcEGKhoeWTNqmZPiu3,,,,
Love To Walk Away,The Vaccines,Pick-Up Full Of Pink Carnations,2024-01-12,1GKsOmCVxqmNavF3nAIrwE,,,,
Be My Lover (feat. La Bouche) - 2023 Mix,Hypaton,Be My Lover (feat. La Bouche) [2023 Mix],2023-04-21,2aQpISWUBToaF84DDiTeRV,,,,
love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix],CKay,love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix],2020-02-13,140dx97IbJbQhIMd7AaHeb,,,,
Love Bites - Remastered 2017,Def Leppard,Hysteria (Super Deluxe),1987-08-03,3Dfy8YIxq89i84t108TvMi,,,,
Lovers From The Past,Mareux,Lovers From The Past,2023-05-05,69cGlmgNyMf2K6AvmLBuRD,,,,
On The Floor,Jennifer Lopez,Love?,2011-04-29,3C0nOe05EIt1390bVABLyN,,,,
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Whitney,1987-06-02,2tUBqZG2AbRi7Q0BIrVrEj,,,,
Love Talk - English Version,WayV,Love Talk (English Version),2019-11-05,2e3cJdJ8xWwydl8JIYlCqB,,,,
Love It When You Call,The Feeling,Twelve Stops And Home (Deluxe),2006-06-05,1jARFFwkrAcEfgdR8JFeae,,,,
Love is All,The Tallest Man On Earth,The Wild Hunt,2010-04-13,5u9NUat59IiQFVEzZ4r3Np,,,,
Love on the Weekend,John Mayer,The Search for Everything,2017-04-14,0oiCeOPwm4zhwfyIpAE37y,,,,
Love Me Not,Emei,Love Me Not,2024-02-09,6UumSbVp1ae6IfcOWDo1oL,,,,
Easy Lover,Philip Bailey,Chinese Wall (Expanded Edition),1984-10-01,5LYJ631w9ps5h9tdvac7yP,,,,
Never Going Home Tonight (feat. Madison Love) - KAAZE Remix,David Guetta,Never Going Home Tonight (feat. Madison Love) [KAAZE Remix],2024-09-27,0znQfZSluraTNVo8Fg6mHs,,,,
Love Me Two Times,The Doors,Strange Days,1967-09-25,67HxeUADW4H3ERfaPW59ma,,,,
Love U Like That,Lauv,Love U Like That,2023-08-04,3rmqiQbzPDx7A8p88IRFKg,,,,
Love Is Only a Feeling,The Darkness,Permission to Land,2003-07-07,1Xiziz94CF3sFctb1udhAm,,,,
Love Today,MIKA,Life In Cartoon Motion,2006-01-01,2IxoxL1FHw0RxN5r6y5mjF,,,,
The Love I Lost,Sybil,Doin' It Now!,1993-01-01,5Yhx4DU9ZTyXuamsgD9j7a,,,,
Fall in Love with You.,Montell Fish,JAMIE,2022-07-22,4kJT7Yj6Za01KfKHjb7mZE,,,,
Never Going Home Tonight (feat. Madison Love),David Guetta,Never Going Home Tonight (feat. Madison Love) [KAAZE Remix],2024-09-27,4A4TwpAZPm9B4cSDWSxR8w,,,,
"Never Going Home Tonight (feat. Madison Love) - KAAZE Remix, Extended",David Guetta,Never Going Home Tonight (feat. Madison Love) [KAAZE Remix],2024-09-27,2LCrScDB7dwFEnq0js290c,,,,
Lover,Restricted,Lover,2023-09-29,6XQG1qMfjvf1K05XYxcx7N,,,,
Love Inside,MC Pat Flynn,Love Inside,2019-06-13,4FEzDxWpnknTbBbu4bWr0y,,,,
Love You Like That,Cloonee,Love You Like That,2021-09-17,4ZYiV1lD5mJEMIdfIaVsBW,,,,
Love Lies,Jessie Murph,That Ain't No Man That's The Devil,2024-09-06,3abIPNFqcG1QvNKtjduDxU,,,,
No Love (with SZA),Summer Walker,Still Over It,2021-11-05,08SB2OtZkaliju77WYEKxk,,,,
Love Like This,Kodaline,In A Perfect World (Expanded Edition),2013-06-17,58HH7mUdFhh2uHciYZ33n1,,,,
we fell in love in october,girl in red,we fell in love in october / October Passed Me By,2018-11-21,6IPwKM3fUUzlElbvKw2sKl,,,,
Love Is The Law,The Seahorses,Do It Yourself,1997-01-01,5hxttI33fq6Pj5jWabbEOz,,,,
To Love Someone,Benson Boone,To Love Someone,2023-11-10,3PsHulD1zewglcTPcEPnlk,,,,
Love And Affection,Pressure Busspipe,Reggae Gold 2007,2007-06-12,4o6ZuLYr04LqFQNiSGVK4u,,,,
Lovebug,Jonas Brothers,A Little Bit Longer,2008-08-12,3F8xLc6T4VvKH7I6wqVAN2,,,,
"What Is Love - 7"" Mix",Haddaway,The Album,1993-09-13,0OTO8ZF2YqFQVw9hnZylTd,,,,
Love My Life,Robbie Williams,The Heavy Entertainment Show (Deluxe),2016-11-04,1YW369EbVyjpeLE3YbsjKQ,,,,
Love Gun,KISS,Love Gun,1977-06-30,0SPBrxOUEMIKugXR4bFhxs,,,,
Loved You So,High Contrast,Loved You So,2024-07-05,0eAikblA7zLjI1ygfuQI1b,,,,
Love Like Mine,Stela Cole,Woman of the Hour,2020-11-20,5Ds1FRxEq20yhhtVY3JukM,,,,
Love Me Anyway (feat. Chris Stapleton),P!nk,Hurts 2B Human,2019-04-25,4Kmp7D3Gg95xv5dzg2mPMq,,,,
Love/Paranoia,Tame Impala,Currents,2015-07-17,5h9hkYIBWTZYFRmF6Iz1gt,,,,
Lover (Remix) [feat. Shawn Mendes],Taylor Swift,Lover (Remix) [feat. Shawn Mendes],2019-11-13,3i9UVldZOE0aD0JnyfAZZ0,,,,
Lovely Darling,Benson Boone,PULSE,2023-05-05,7JQfzB0Idz7zXvTRnvqggu,,,,
Love Somebody,Rotimi,All or Nothing (Deluxe),2021-10-15,2VR1nIY2M4W2AfNOg4uFR7,,,,
Lovely,Sonder,Into,2017-01-27,1c2wTe7doRRk2n1XZe0KAM,,,,
Love or Hate - Sainte Vie Remix,Vintage Culture,Promised Land (Remixes),2024-10-02,2bZqIY3BZ4OGjVUcjqljZi,,,,
Show Me Love,Robin S,Show Me Love,1993-06-15,4t0UsYzmmmZRMTWn77jiGF,,,,
Love Story,Layo & Bushwacka!,Night Works,2002,3SdXO2B5AVG6BDHiS7dOH6,,,,
Love From The Other Side,Fall Out Boy,So Much (For) Stardust,2023-03-24,2W0ML0bVXNew4Jmc40Rpzj,,,,
Let Me Love You,DJ Snake,Encore,2016-08-05,0lYBSQXN6rCTvUZvg9S0lU,,,,
Love Shy (Thinking About You) - Virgo vs. Agent X Edit,Platnum,Love Shy (Thinking About You) [Virgo vs. Agent X Edit],2008-09-26,1d0i1q08HrOTP0jeYVFPOH,,,,
love race (feat. Kellin Quinn),mgk,love race (feat. Kellin Quinn),2021-04-29,1F9kEuwT29fgqlovIclu81,,,,
Lover Of The Light,Mumford & Sons,Babel,2012-09-21,73ZdoUAA4qgXrz7j30qirm,,,,
Love Will Tear Us Apart - Tensnake Remix,R Plus,Love Will Tear Us Apart - Tensnake Remix,2021-06-04,51NcW3cfbdI0FLsD8dgXAq,,,,
Love Taste,Moe Shop,Love Taste,2016-05-22,0XVoD3TmJVEYdRzZoe0Ewy,,,,
Love to Hate You - 2009 Remaster,Erasure,Total Pop! - The First 40 Hits - Deluxe Edition,1992-11-16,2vv4A2yL07lVmoApWI0OLk,,,,
Love Somebody (feat. Young Thug),Gucci Mane,"Brick Factory, Vol. 1",2014-05-26,7jXaTTqkOupMhGhQdyXDTN,,,,
What Lovers Do (feat. SZA),Maroon 5,Red Pill Blues (Deluxe),2018-06-15,0GxQ1A5L9xnMOytbP6eKBG,,,,
Crazy In Love (feat. Jay-Z),Beyoncé,Dangerously In Love,2003-06-24,5IVuqXILoxVWvWEPm82Jxr,,,,
Love Love Love - Here I Come,Chicane,Love Love Love - Here I Come,2024-09-26,0Ec7RAxaMjnscGFd61l2Zv,,,,
Love Love Love - Here I Come - Extended Mix,Chicane,Love Love Love - Here I Come,2024-09-26,6vMKwUqc9j3LZKfhsAT6FY,,,,
Paper Rings,Taylor Swift,Lover,2019-08-23,4y5bvROuBDPr5fuwXbIBZR,,,,
Dirty Love,Mt. Joy,Mt. Joy,2018-03-02,6bON0csSf7G4LDsUrBwQ54,,,,
Love Me The Same,Astrality,Love Me The Same,2024-08-02,4RDgkhNm5TJKW2Qe24OOYW,,,,
Crazy Little Thing Called Love - Remastered 2011,Queen,The Game (2011 Remaster),1980-06-27,6xdLJrVj4vIXwhuG8TMopk,,,,
Real Love,Retrowaves,Real Love,2023-10-20,75aYWQdjwPoAD21zYDFo4r,,,,
This Year's Love,David Gray,White Ladder (2020 Remaster),1998,1wK6fC3r5fGJ7N4U8R0nOY,,,,
Love Me Back,Max McNown,Love Me Back,2024-05-17,4ItLuuQoVYrMbufSmyUzPq,,,,
Love To Go,Lost Frequencies,Love To Go,2020-04-17,14d79QOV2pvJHH9vlUfZwJ,,,,
One Love / People Get Ready,Bob Marley & The Wailers,Exodus,1977-06-03,7oNgPClUYdscWWHa5PF1gT,,,,
Love More (feat. Nicki Minaj),Chris Brown,X (Expanded Edition),2014-09-16,2MDueMvPkUTpU6Xkmeinln,,,,
Lovely,Silent Knights,Lovely,2024-09-06,6XIHXcQHTNdz7p3YYMUbyt,,,,
"Love or Money - Live at Music Hall, Boston, MA, 2/19/1976",Joni Mitchell,"Joni Mitchell Archives, Vol. 4: The Asylum Years (1976-1980)",2024-10-04,76YqBAk1b3AzA8HRwMUopS,,,,
Love Don't Let Me Go (Walking Away),David Guetta,Pop Life (Bonus Track),2007-06-01,1kOsYrMBZBBHx0Dl4zs86G,,,,
Love Me More,Mitski,Laurel Hell,2022-02-04,4PUT0cH2iggaje5hTJZeGe,,,,
Loverboy,A-Wall,Loverboy,2019-06-28,3CboywxfJIgvHqi2FF4exb,,,,
Lovers Rock,Sade,Lovers Rock,2000-11-13,77lKjGkhvWuimTzQxA4STK,,,,
Love Shy (Thinking About You) - Virgo vs. Agent X Club Mix,Platnum,Love Shy (Thinking About You) [Remixes],2008-09-30,5u8a3ikxBEyPlMjPLlYqmN,,,,
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,Raymond v Raymond (Expanded Edition),2010-03-30,4356Typ82hUiFAynbLYbPn,,,,
Love Is Strange,Mickey Baker,Presenting Mickey Baker,1957-12-10,3Bh370SaZZ0BPHKKOqvAgy,,,,
Higher Love,Kygo,Higher Love,2019-06-28,6oJ6le65B3SEqPwMRNXWjY,,,,
Love Galore (Alt Version),SZA,Ctrl (Deluxe),2022-06-09,3fcX3E9l1gVnfKeWaEzHHv,,,,
Love Will Get You There,Inhaler,Cuts & Bruises,2023-02-17,4ycaDB5s90BpUyaS5nZwcI,,,,
Love Is Everywhere,Magdalena Bay,Imaginal Disk,2024-08-23,2ZSDtC0XZnpokAMwRtgqzh,,,,
Gonna Love Me,Teyana Taylor,K.T.S.E.,2018-06-23,3nXrCAE44KlevAkQB2XWcN,,,,
Loved You So,High Contrast,Remember Me,2024-09-27,29NZ2CQvydVuxT2bgtRCLp,,,,
Love The Hell Out Of You (Piano Acoustic) - From The Motion Picture 'It Ends With Us',Lewis Capaldi,Love The Hell Out Of You - From The Motion Picture 'It Ends With Us',2024-08-09,594DOCdAUxHd23OZCcPpBU,,,,
Hey Lover,The Daughters Of Eve,Hey Lover / Stand by Me,1966-02-05,0bhwnn2xqnBUcMZDcXNuII,,,,
Love Dose,Yo Yo Honey Singh,Desi Kalakaar,2014-09-26,1QZRCi2Z1DQQaR6bGAzhtN,,,,
Lover,The Hunna,Dare,2018-07-13,1W7pa4MHdI8NLftl9PEK9X,,,,
Friday I'm In Love,The Cure,Wish,1992-01-01,4QlzkaRHtU8gAdwqjWmO8n,,,,
Waiting For Love,Avicii,Stories,2015-10-02,2Zr5zgU9qEoOPvJbU0GScq,,,,
Baby Love,The Supremes,Where Did Our Love Go,1964-08-31,5uES1C2NgkdrNHiCwf9jRr,,,,
Love Tonight (Robin Schulz Remix),Shouse,Love Tonight (Robin Schulz Remix),2021-09-03,0J07ya7WC09FaQADutoBRZ,,,,
LoveStoned / I Think She Knows (Interlude),Justin Timberlake,FutureSex/LoveSounds,2006-09-12,5iyE2d4U3Vc5cqY9mPTlpy,,,,
Make You Feel My Love,Adele,19,2008-01-27,273QnyCvJB65rScHJ1nPZb,,,,
Crew Love,Drake,Take Care (Deluxe),2011-11-15,0V4l4GQhgnWQGtCWpvA7va,,,,
Your Love,The Outfield,Super Hits,1985,5dRQUolXAVX3BbCiIxmSsf,,,,
The Love I Lost (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,Black & Blue (Expanded Edition) (feat. Teddy Pendergrass),1973-02-01,4mumFsUDQXpQts1Y7Zjw5H,,,,
Love Resurrection - 2009 Remaster,Alison Moyet,Alf (Deluxe Version),2016-11-25,6ouOdKaCbfbRbjW1W9yZZQ,,,,
(Love Is Like A) Heat Wave,Martha Reeves & The Vandellas,Heat Wave,1963,3VgrSJEKBRT3xmwzpaxxEF,,,,
Love Shy - Club Asylum Remix,Kristine Blond,Love Shy,2016-09-30,4ThF7v3bdi7wHiDIrB8Ggn,,,,
Like a Tattoo,Sade,Love Deluxe,1992-10-26,4PEGwWH4tL6H7dGl4uVSPg,,,,
Feel the Love (feat. John Newman),Rudimental,Home,2013-04-26,0k73nWaD6RPx2sHFEkGPcn,,,,
Sexy Love,Ne-Yo,In My Own Words,2006-01-01,4Pgh4b9rY9vVuXXl4Y1ob8,,,,
Love wins all,IU,Love wins all,2024-01-24,0djkJ3iAARXRCbfbwwVc3o,,,,
LOVE IS A DRUG,Don Toliver,HARDSTONE PSYCHO,2024-06-25,2ZZMbEXXq9hPReD2alSNxD,,,,
Come and Get Your Love - Single Version,Redbone,Come and Get Your Love,1973-11-01,7GVUmCP00eSsqc4tzj1sDD,,,,
